업소명,소재지주소,영업상태명,지정일자,지정취소일자,재지정일자
이도횟집,"서울특별시 중구 신당동 381-11 1,2층 ",영업,20120529,20170828.0,20161214.0
9테이블,서울특별시 중구 을지로2가 163-5 ,영업,20171215,20211220.0,20201104.0
비에이치씨(BHC)충무로역점,서울특별시 중구 필동2가 15-2 ,영업,20141113,,20241120.0
은&정 명동닭갈비,서울특별시 중구 을지로2가 199-41 ,영업,20151109,,20241120.0
남문토방,서울특별시 중구 남창동 30 지하1층 ,영업,20071218,,20241120.0
동해일식,서울특별시 중구 무교동 19-0 ,영업,20010813,,20241120.0
지우(명동점),서울특별시 중구 남산동1가 6-9 ,영업,20141113,,20241120.0
아구랑꽃게랑,서울특별시 중구 장충동2가 24-35 1층 ,영업,20050907,,20241120.0
문화옥,서울특별시 중구 주교동 118-3 ,영업,20010813,,20241120.0
훈민정,서울특별시 중구 서소문동 101-2 ,영업,20061222,20211220.0,20201104.0
명운 참 숯불구이,서울특별시 중구 신당동 304-564 1층 ,영업,20231214,,20241120.0
충무로뚝배기,서울특별시 중구 초동 19-12 ,영업,20161214,20221229.0,20211220.0
삼삼뼈국 막국수 충무로점,서울특별시 중구 필동2가 60-1 ,영업,20221227,,20241120.0
느티나무와 곰이복이,"서울특별시 중구 신당동 251-131 ,251-10 (1층) ",영업,20110628,20210324.0,20201104.0
놀부보쌈과 돌솥밥,서울특별시 중구 을지로6가 18-103 2층 ,영업,20150626,20221229.0,20211220.0
잘차려진 바다,서울특별시 중구 다동 114-0 ,영업,20190905,20211220.0,20201104.0
주식회사 한가람본점,서울특별시 중구 북창동 93-35 ,영업,20190905,20221229.0,20211220.0
관호 광화문점,서울특별시 중구 태평로1가 62-9 지상2층 ,영업,20010813,20211220.0,20201104.0
오래복집,서울특별시 중구 장충동2가 186-38 ,영업,20010813,,20241120.0
양문 을지로점,서울특별시 중구 저동2가 76-6 ,영업,20231214,,20241120.0
순미네 행복게장,서울특별시 중구 을지로6가 18-37 삼정빌딩2층 ,영업,20020417,20211220.0,20201104.0
백암 박가네 순대국,서울특별시 중구 서소문동 51-1 ,영업,20130715,20250807.0,20231214.0
담소사골순대 충무로점,서울특별시 중구 초동 34-4 ,영업,20151109,20221229.0,20211220.0
신씨네,서울특별시 중구 서소문동 54-2 지상 2층 ,영업,20040807,,20241120.0
강가,서울특별시 중구 태평로1가 84 서울파이낸스센타 지하2층 ,영업,20020417,,20241120.0
하동관,서울특별시 중구 명동1가 10-4 ,영업,20120529,,20241120.0
남촌회관,서울특별시 중구 태평로1가 31-25 1층 ,영업,20091216,,20241120.0
리치,서울특별시 중구 서소문동 58-7 지하1층 ,영업,20020417,20151109.0,20061222.0
아이러브 떡볶이,서울특별시 중구 신당동 302-4 성완빌딩 1층 1~7호 ,영업,20081231,,20241120.0
청종나주곰탕,서울특별시 중구 저동1가 2-3 평화빌딩 지하1층 ,영업,20031013,,20241120.0
